id;start_date;end_date;language
1;2019-08-02T09:29:04;2019-08-02T02:37:21;FRENCH
2;2019-08-02T10:59:10;2019-08-01T20:05:20;SPANISH
3;2019-08-02T06:31:14;2019-08-01T21:55:14;FRENCH
4;2019-08-01T19:43:06;2019-08-02T03:10:07;ENGLISH
5;2019-08-02T04:41:45;2019-08-02T09:25:53;SPANISH
6;2019-08-02T10:58:45;2019-08-02T12:15:41;SPANISH
7;2019-08-01T20:21:05;2019-08-02T09:01:52;FRENCH
8;2019-08-01T17:52:24;2019-08-02T01:52:33;SPANISH
9;2019-08-02T03:40:30;2019-08-02T12:05:08;ENGLISH
10;2019-08-02T06:58:39;2019-08-02T04:14:54;ENGLISH
